,Unnamed: 0,nb users,langue majoritaire,nb langue majoritaire,proportion langue majoritaire,recall langue majoritaire,densité,clustering coefficient,clustering coefficient config,ratio
0,0,37621.0,EN,34347.0,0.912974136785306,0.2760768742313783,0.0001836060414581,0.2415717317311585,2.022972110967184,0.11941426696963357
1,1,23660.0,EN,23222.0,0.9814877430262046,0.1866555208140759,0.0001925403670571,0.165474498300877,0.1255536704151569,1.3179582703852268
2,2,19870.0,EN,18054.0,0.908605938600906,0.1451157855816607,0.0001306994736133,0.187249737027532,1.1661176371824367,0.16057534082064243
3,3,18391.0,EN,17869.0,0.9716165515741396,0.1436287788057326,0.0001954418711547,0.1000184344340741,0.026252073321264793,3.80992515181865
4,4,16097.0,EN,15165.0,0.9421010126110456,0.1218943662537878,0.0001191723952534,0.1442983848091345,1.7363880654723265,0.08310261264660498
5,5,15576.0,EN,14098.0,0.905110426296867,0.1133179542001913,0.0002767010154601,0.2059374560024385,0.44080734806339966,0.4671824480857322
6,6,8830.0,DE,8378.0,0.94881087202718,0.8886296139159949,0.0005352572403641,0.1103490157142953,0.04583120880377076,2.4077264945544345
7,7,6225.0,FR,5985.0,0.9614457831325302,0.8802765112516546,0.0007388389841686,0.1153396925376191,0.04768317584491759,2.4188760604525217
8,8,5112.0,ZH,2736.0,0.5352112676056338,0.9674681753889676,0.0008584969913909,0.1540426744926535,0.049192911660429474,3.131399815403987
9,9,5099.0,ES,4876.0,0.9562659344969602,0.8555886997718898,0.001302682249283,0.1328606053380294,0.04321596528898081,3.074340800896241
10,10,4624.0,RU,4369.0,0.9448529411764706,0.9062435179423356,0.0010618740495664,0.0993774725997533,0.05399585045683321,1.8404649942350713
11,11,2185.0,PT,2077.0,0.9505720823798628,0.819006309148265,0.0014471425393721,0.1275112896934771,0.05636294251086791,2.2623249250851365
12,12,1166.0,IT,1099.0,0.9425385934819898,0.8934959349593496,0.0039157154455371,0.1399835468658412,0.06387015297376482,2.1916895505689578
13,13,846.0,PL,764.0,0.9030732860520094,0.809322033898305,0.0031172713055053,0.1221861532530885,0.05993387974702381,2.038682524288877
14,14,734.0,TR,707.0,0.9632152588555858,0.9158031088082902,0.0064635199874342,0.1851576831988097,0.09195758737569219,2.013511755613477
15,15,672.0,TH,610.0,0.9077380952380952,0.9651898734177216,0.0186571312937241,0.298770074396489,0.1498725934610156,1.993493723548623
16,16,550.0,CS,512.0,0.9309090909090908,0.8888888888888888,0.0059794341471598,0.1485433820352552,0.075089186738647,1.9782260067920363
17,17,510.0,FI,444.0,0.8705882352941177,0.6809815950920245,0.003356269012181,0.1409148657340951,0.053646365942667806,2.6267364668222197
18,18,343.0,HU,322.0,0.9387755102040816,0.7540983606557377,0.0162206944666501,0.2201633255695211,0.10263936708752393,2.145018347412262
19,19,3.0,EN,3.0,1.0,2.411362339342984e-05,0.6666666666666666,0.0,0.0,
