,node,community_leiden
0,98343,1
1,141493,0
2,58736,1
3,140703,1
4,151401,1
5,157118,5
6,125430,1
7,3635,0
8,495,0
9,116648,0
10,1679,1
11,123861,1
12,89631,1
13,113417,2
14,145281,1
15,10408,3
16,3181,1
17,40675,0
18,95914,0
19,155127,4
20,124827,0
21,16783,1
22,122269,0
23,87516,5
24,106969,1
25,10372,1
26,66893,5
27,75403,5
28,143081,2
29,44326,3
30,95697,0
31,48850,0
32,59892,2
33,159097,1
34,63150,1
35,90148,5
36,78899,1
37,30520,0
38,54230,5
39,90697,1
40,36837,0
41,30061,0
42,54013,2
43,157585,0
44,62841,3
45,105041,4
46,1966,0
47,80986,5
48,87129,0
49,151230,0
50,17048,0
51,65788,2
52,64605,0
53,91680,1
54,84392,0
55,141930,4
56,79768,3
57,83757,0
58,109678,4
59,37182,0
60,134405,4
61,103123,5
62,66786,3
63,144898,0
64,24321,3
65,87479,0
66,17293,0
67,50129,0
68,50511,1
69,8216,8
70,108538,0
71,105333,0
72,134952,0
73,60384,0
74,150905,2
75,113359,0
76,53279,4
77,73900,1
78,9068,0
79,133924,5
80,49634,2
81,54848,1
82,147773,0
83,42097,0
84,73017,5
85,79010,1
86,18259,2
87,111738,3
88,55012,0
89,5587,3
90,138216,0
91,131033,2
92,41764,0
93,129869,3
94,96169,5
95,155216,0
96,131128,5
97,34043,5
98,52154,1
99,34817,1
100,64855,0
101,135417,0
102,359,0
103,1956,1
104,55541,1
105,39517,0
106,131812,0
107,114046,0
108,154601,1
109,156488,0
110,52906,1
111,102843,1
112,111532,0
113,118951,1
114,53087,5
115,54642,0
116,5240,1
117,134332,1
118,14671,2
119,47687,0
120,47048,8
121,17255,1
122,45772,0
123,152100,4
124,8872,0
125,65630,0
126,84308,3
127,128440,3
128,3493,4
129,700,9
130,135261,5
131,17661,0
132,132505,0
133,105850,0
134,78833,1
135,58134,0
136,80211,4
137,91804,1
138,60169,1
139,102090,0
140,122722,0
141,77329,2
142,167840,0
143,37876,3
144,2524,5
145,149299,1
146,27453,0
147,9936,1
148,112252,5
149,38671,4
150,26226,3
151,59272,0
152,33318,5
153,11953,1
154,7104,5
155,61944,2
156,136819,0
157,117234,0
158,36296,0
159,97963,0
160,69910,2
161,140674,1
162,99543,5
163,26552,3
164,80790,0
165,81288,5
166,51130,0
167,10261,0
168,38029,0
169,37801,0
170,149952,0
171,48309,0
172,64696,0
173,70202,0
174,119034,0
175,20601,2
176,74593,0
177,68690,0
178,120323,0
179,106755,1
180,49602,2
181,29746,1
182,28726,0
183,11751,0
184,30196,0
185,86174,3
186,2903,1
187,69855,0
188,110498,0
189,69236,2
190,65778,0
191,155464,0
192,16166,1
193,54774,0
194,12882,0
195,51721,0
196,16379,1
197,88215,0
198,84599,0
199,31547,0
200,128199,4
201,43541,0
202,105143,0
203,17691,0
204,144193,1
205,133636,5
206,35713,4
207,150604,3
208,31163,0
209,30361,0
210,22366,0
211,145708,1
212,82640,1
213,2085,4
214,76140,5
215,62585,2
216,100272,0
217,47345,3
218,78557,2
219,63538,2
220,61562,1
221,38012,0
222,151216,2
223,80205,1
224,60360,2
225,27294,0
226,81163,1
227,119611,1
228,80239,8
229,8730,1
230,44855,5
231,52199,0
232,68518,5
233,33520,1
234,61584,0
235,71260,5
236,46074,0
237,72301,0
238,5536,1
239,132646,4
240,108077,1
241,131023,4
242,31988,8
243,100109,9
244,115024,0
245,69605,0
246,23481,0
247,73245,0
248,134666,2
249,48554,3
250,16475,5
251,52703,0
252,57603,1
253,114099,1
254,31120,0
255,81147,2
256,65805,3
257,118233,0
258,52547,0
259,113066,1
260,63416,8
261,115864,4
262,89781,4
263,89324,1
264,41667,0
265,115865,0
266,75711,0
267,103568,0
268,87147,1
269,29633,1
270,27765,0
271,81028,0
272,98236,5
273,91424,1
274,82834,1
275,155787,0
276,164941,5
277,96696,2
278,74091,0
279,81714,2
280,124065,1
281,46035,0
282,61421,5
283,121294,0
284,156265,16
285,76441,0
286,101423,0
287,110198,1
288,21879,0
289,49371,1
290,86567,5
291,125348,2
292,12508,0
293,127055,3
294,142328,1
295,133775,1
296,67225,0
297,73899,3
298,86751,4
299,51733,3
300,87545,2
301,62849,1
302,53021,2
303,17801,0
304,166734,1
305,26148,1
306,96638,3
307,152066,0
308,36293,0
309,90205,0
310,35655,0
311,58379,1
312,154805,0
313,62727,0
314,97291,1
315,28073,0
316,67856,0
317,100124,1
318,2719,5
319,146151,0
320,96309,5
321,127721,3
322,129564,2
323,152481,4
324,104201,0
325,2755,5
326,23053,0
327,144342,4
328,33631,0
329,15881,0
330,4649,0
331,20811,0
332,105394,1
333,103500,1
334,91400,2
335,83027,0
336,80037,3
337,77316,0
338,69373,10
339,55505,8
340,96525,0
341,163487,4
342,6212,0
343,16226,5
344,11424,3
345,99674,0
346,80020,0
347,63000,5
348,75162,2
349,111252,0
350,23394,0
351,7115,1
352,17553,3
353,85906,0
354,12066,0
355,49336,0
356,51652,1
357,531,1
358,73580,0
359,78176,3
360,27971,1
361,138305,0
362,7484,0
363,84905,1
364,52205,1
365,110491,0
366,67900,1
367,20108,0
368,149150,1
369,142565,0
370,137945,4
371,144078,1
372,86757,2
373,162808,0
374,18310,0
375,101021,2
376,89262,0
377,32261,2
378,140650,0
379,65551,2
380,69317,0
381,125444,5
382,122186,5
383,85567,0
384,143890,1
385,109668,0
386,133388,0
387,22950,2
388,36881,1
389,140117,0
390,66933,1
391,150079,1
392,148757,0
393,46977,2
394,21753,1
395,63936,0
396,79615,0
397,48184,2
398,4450,1
399,62798,2
400,19388,0
401,121880,0
402,50592,0
403,142502,0
404,136561,1
405,152079,0
406,99423,4
407,782,0
408,113098,0
409,52338,5
410,137126,1
411,120774,3
412,92439,5
413,125269,4
414,164441,0
415,31362,0
416,99829,3
417,116920,1
418,114395,0
419,110249,0
420,30851,0
421,30852,1
422,119259,0
423,52011,2
424,97006,0
425,166230,4
426,145911,0
427,11628,2
428,162270,3
429,69584,4
430,163428,0
431,124061,0
432,13233,4
433,67478,1
434,46550,1
435,6513,4
436,119292,0
437,71355,5
438,17114,0
439,47917,4
440,55343,0
441,43534,4
442,158608,0
443,88758,5
444,97471,1
445,4774,0
446,90139,0
447,22705,0
448,45596,5
449,166419,2
450,41015,2
451,27248,2
452,76279,1
453,6190,4
454,57234,0
455,12521,0
456,39092,0
457,34750,1
458,16162,12
459,157006,0
460,92614,4
461,92339,3
462,51665,0
463,14648,0
464,44087,1
465,62741,0
466,8433,0
467,136670,1
468,82672,1
469,43133,2
470,39951,0
471,30092,0
472,12612,0
473,114483,0
474,158691,0
475,113201,1
476,100771,1
477,7950,0
478,151799,3
479,153763,0
480,95505,0
481,117377,0
482,151453,4
483,122526,2
484,50881,0
485,70078,5
486,71605,0
487,156481,1
488,55748,4
489,160823,0
490,26024,0
491,156357,0
492,7991,5
493,66451,2
494,119709,0
495,30036,0
496,25256,0
497,98676,3
498,68997,0
499,44747,5
500,24845,0
501,84235,0
502,43197,0
503,83472,0
504,24744,0
505,84502,5
506,108386,5
507,140327,0
508,129570,0
509,118462,0
510,85413,2
511,131116,5
512,56877,0
513,4426,2
514,120398,3
515,93407,1
516,28980,0
517,153354,0
518,119139,1
519,32022,0
520,92303,1
521,124323,0
522,18306,0
523,119742,9
524,125024,0
525,103813,1
526,94074,0
527,30947,0
528,2317,2
529,116876,0
530,80919,5
531,157744,0
532,63923,5
533,56720,8
534,10141,0
535,58365,0
536,74321,1
537,121877,0
538,141308,4
539,93358,4
540,9245,5
541,113845,2
542,25817,1
543,139226,0
544,40604,0
545,25376,2
546,31216,0
547,12739,4
548,73555,0
549,33872,5
550,124055,1
551,21991,1
552,120136,1
553,91114,2
554,70156,3
555,18137,0
556,19324,0
557,46405,1
558,154640,0
559,103728,1
560,61504,0
561,968,2
562,85669,5
563,45816,3
564,30293,6
565,99274,0
566,69819,0
567,2097,0
568,51176,0
569,26599,1
570,14199,2
571,10819,0
572,86341,0
573,89259,0
574,117239,0
575,102750,0
576,81776,0
577,104204,0
578,85740,0
579,17187,0
580,109835,0
581,102717,0
582,88205,0
583,87328,0
584,72850,4
585,17008,0
586,9408,0
587,79913,2
588,22970,11
589,116900,0
590,132818,1
591,74053,2
592,20683,0
593,121282,5
594,20401,1
595,36093,0
596,164477,11
597,23120,1
598,70775,0
599,77801,0
600,64241,1
601,142851,1
602,23875,0
603,25310,10
604,71809,1
605,142420,0
606,35200,0
607,133737,0
608,101091,0
609,70312,5
610,33976,1
611,134317,0
612,135638,2
613,56252,0
614,15754,3
615,93652,0
616,29339,0
617,43420,4
618,101516,0
619,114739,5
620,86463,0
621,87837,0
622,54557,0
623,107214,1
624,55675,0
625,85432,1
626,133012,5
627,95309,1
628,103147,0
629,71780,0
630,168096,0
631,18007,0
632,70714,3
633,106048,5
634,107615,0
635,24310,0
636,85993,0
637,41353,2
638,21778,2
639,62283,0
640,69139,5
641,1148,1
642,167619,0
643,1661,4
644,3075,0
645,51545,5
646,56759,0
647,150721,0
648,30050,0
649,87059,0
650,165831,0
651,5310,2
652,49886,0
653,79216,4
654,75239,4
655,24770,1
656,15993,4
657,21401,5
658,116258,3
659,19207,3
660,92378,5
661,53281,2
662,18933,0
663,105426,6
664,140033,0
665,115045,2
666,67503,4
667,102379,1
668,9026,0
669,93732,2
670,17274,5
671,15896,1
672,106919,4
673,155389,5
674,75249,0
675,50655,3
676,108994,0
677,47708,0
678,5048,1
679,76194,3
680,80024,0
681,119964,1
682,141509,1
683,64941,0
684,137445,4
685,69708,0
686,136249,10
687,140905,0
688,84721,1
689,57182,0
690,57565,3
691,86044,3
692,58264,2
693,80841,2
694,110326,1
695,116822,4
696,13875,1
697,114819,4
698,1472,0
699,139505,2
700,74691,1
701,48137,5
702,127674,0
703,46645,1
704,29623,1
705,5004,2
706,82569,1
707,48721,9
708,55177,0
709,101045,0
710,69345,0
711,101556,1
712,44603,5
713,80535,0
714,33266,2
715,115547,1
716,45383,0
717,115048,1
718,3945,0
719,129948,1
720,68535,0
721,14508,0
722,119980,0
723,92822,0
724,51199,0
725,121335,1
726,161267,1
727,28685,0
728,33376,4
729,1615,5
730,95683,0
731,76565,0
732,32275,0
733,137406,0
734,14387,0
735,78323,2
736,95567,0
737,32942,2
738,165909,1
739,134296,2
740,61100,0
741,26968,5
742,28570,0
743,60052,9
744,76456,0
745,143503,2
746,94002,0
747,70415,0
748,133488,2
749,151154,1
750,40651,1
751,141565,6
752,69159,0
753,9616,0
754,111514,0
755,112962,1
756,123274,2
757,37187,0
758,22419,1
759,145941,0
760,45930,1
761,73217,0
762,102445,0
763,131397,2
764,4545,2
765,114746,1
766,42779,0
767,102742,0
768,160213,3
769,24622,2
770,19242,0
771,37839,5
772,46288,0
773,98682,0
774,100916,2
775,46128,0
776,86033,1
777,161309,0
778,34662,2
779,106656,1
780,161515,0
781,161140,0
782,58126,0
783,94974,2
784,36308,11
785,149536,0
786,156944,1
787,8392,0
788,65744,1
789,161249,1
790,48668,4
791,69528,7
792,28244,0
793,92743,1
794,23410,4
795,6385,0
796,28041,3
797,87281,0
798,25979,1
799,112414,1
800,6625,4
801,108874,9
802,159899,1
803,3060,4
804,143544,5
805,144247,0
806,165936,4
807,483,3
808,125144,5
809,95963,0
810,12843,14
811,131058,0
812,151158,0
813,140204,1
814,113622,5
815,129849,2
816,104910,5
817,126790,0
818,84734,0
819,164714,2
820,119949,0
821,63437,5
822,50158,6
823,162929,2
824,124137,0
825,49208,5
826,18347,0
827,29453,0
828,54087,0
829,89610,3
830,59417,0
831,102057,0
832,69010,4
833,32362,0
834,80478,0
835,140427,0
836,134246,1
837,98235,0
838,99378,3
839,109495,0
840,120496,4
841,149215,0
842,158189,0
843,33360,0
844,11022,0
845,122041,0
846,62319,0
847,77874,4
848,62612,0
849,131584,0
850,136365,0
851,164528,7
852,123157,2
853,146937,0
854,39060,0
855,131192,0
856,26836,1
857,85463,0
858,59240,1
859,78836,0
860,125044,0
861,121705,4
862,73221,0
863,40240,1
864,68031,5
865,86553,2
866,88944,0
867,89207,1
868,8006,5
869,17309,0
870,1114,0
871,118661,0
872,20779,0
873,81674,2
874,95145,1
875,50712,0
876,8069,0
877,117962,3
878,93147,1
879,8397,2
880,38851,1
881,167917,0
882,70899,2
883,17841,0
884,94799,2
885,91422,0
886,70231,0
887,52517,0
888,100640,1
889,107146,0
890,167804,0
891,108961,3
892,98139,0
893,10320,1
894,93529,4
895,164688,1
896,22077,0
897,4138,1
898,69520,0
899,165482,0
900,91613,1
901,136653,0
902,84479,5
903,46268,1
904,93720,0
905,101246,3
906,28513,0
907,94957,1
908,87651,0
909,100661,0
910,132858,4
911,146188,0
912,80453,0
913,39440,0
914,114265,2
915,167736,2
916,67720,0
