,node,community
0,98343,0
1,141493,1
2,58736,0
3,140703,0
4,151401,0
5,157118,2
6,125430,0
7,3635,1
8,495,1
9,116648,3
10,1679,1
11,123861,0
12,89631,0
13,113417,3
14,145281,0
15,10408,1
16,3181,0
17,40675,1
18,95914,3
19,155127,3
20,124827,1
21,16783,0
22,122269,1
23,87516,2
24,106969,1
25,10372,0
26,66893,2
27,75403,2
28,143081,3
29,44326,1
30,95697,1
31,48850,3
32,59892,3
33,159097,0
34,63150,0
35,90148,2
36,78899,0
37,30520,1
38,54230,2
39,90697,0
40,36837,0
41,30061,2
42,54013,3
43,157585,0
44,62841,1
45,105041,1
46,1966,1
47,80986,2
48,87129,3
49,151230,1
50,17048,3
51,65788,3
52,64605,3
53,91680,1
54,84392,1
55,141930,3
56,79768,1
57,83757,1
58,109678,3
59,37182,1
60,134405,2
61,103123,2
62,66786,1
63,144898,1
64,24321,1
65,87479,1
66,17293,1
67,50129,1
68,50511,1
69,8216,4
70,108538,1
71,105333,3
72,134952,1
73,60384,1
74,150905,3
75,113359,3
76,53279,1
77,73900,0
78,9068,0
79,133924,2
80,49634,3
81,54848,1
82,147773,1
83,42097,1
84,73017,2
85,79010,0
86,18259,3
87,111738,1
88,55012,1
89,5587,1
90,138216,1
91,131033,2
92,41764,1
93,129869,1
94,96169,2
95,155216,1
96,131128,2
97,34043,2
98,52154,0
99,34817,3
100,64855,3
101,135417,1
102,359,1
103,1956,0
104,55541,3
105,39517,1
106,131812,1
107,114046,0
108,154601,0
109,156488,1
110,52906,1
111,102843,1
112,111532,1
113,118951,3
114,53087,1
115,54642,0
116,5240,0
117,134332,0
118,14671,3
119,47687,1
120,47048,4
121,17255,0
122,45772,0
123,152100,3
124,8872,1
125,65630,3
126,84308,1
127,128440,0
128,3493,2
129,700,3
130,135261,2
131,17661,1
132,132505,1
133,105850,1
134,78833,0
135,58134,3
136,80211,3
137,91804,0
138,60169,0
139,102090,1
140,122722,3
141,77329,3
142,167840,3
143,37876,1
144,2524,2
145,149299,0
146,27453,0
147,9936,1
148,112252,2
149,38671,2
150,26226,1
151,59272,3
152,33318,2
153,11953,1
154,7104,2
155,61944,3
156,136819,1
157,117234,1
158,36296,1
159,97963,1
160,69910,3
161,140674,3
162,99543,2
163,26552,1
164,80790,3
165,81288,2
166,51130,0
167,10261,3
168,38029,3
169,37801,3
170,149952,3
171,48309,1
172,64696,1
173,70202,3
174,119034,3
175,20601,3
176,74593,1
177,68690,1
178,120323,3
179,106755,0
180,49602,3
181,29746,0
182,28726,1
183,11751,0
184,30196,1
185,86174,1
186,2903,0
187,69855,1
188,110498,1
189,69236,3
190,65778,3
191,155464,1
192,16166,1
193,54774,1
194,12882,1
195,51721,3
196,16379,1
197,88215,3
198,84599,1
199,31547,1
200,128199,3
201,43541,1
202,105143,1
203,17691,1
204,144193,1
205,133636,2
206,35713,3
207,150604,1
208,31163,1
209,30361,1
210,22366,1
211,145708,1
212,82640,0
213,2085,2
214,76140,2
215,62585,0
216,100272,3
217,47345,1
218,78557,3
219,63538,3
220,61562,0
221,38012,1
222,151216,3
223,80205,0
224,60360,3
225,27294,1
226,81163,1
227,119611,0
228,80239,4
229,8730,0
230,44855,2
231,52199,1
232,68518,2
233,33520,0
234,61584,3
235,71260,2
236,46074,1
237,72301,0
238,5536,0
239,132646,1
240,108077,0
241,131023,0
242,31988,4
243,100109,5
244,115024,1
245,69605,3
246,23481,1
247,73245,1
248,134666,3
