,node,community_lpa
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,16,0
16,17,0
17,18,0
18,19,0
19,20,0
20,21,0
21,22,0
22,24,0
23,25,0
24,26,0
25,27,0
26,28,0
27,29,0
28,30,0
29,31,0
30,32,0
31,33,0
32,34,0
33,35,0
34,36,0
35,37,0
36,38,0
37,39,0
38,40,0
39,41,0
40,43,0
41,44,0
42,45,0
43,46,0
44,47,0
45,48,0
46,49,0
47,50,0
48,51,0
49,52,0
50,53,0
51,54,0
52,55,0
53,56,0
54,57,0
55,58,0
56,59,0
57,60,0
58,61,0
59,62,0
60,63,0
61,64,0
62,65,0
63,66,0
64,67,0
65,68,0
66,69,0
67,70,0
68,71,0
69,72,0
70,73,0
71,74,0
72,75,0
73,76,0
74,77,0
75,79,0
76,80,0
77,81,0
78,82,0
79,83,0
80,84,0
81,85,0
82,86,0
83,87,0
84,88,0
85,89,0
86,90,0
87,91,0
88,92,0
89,93,0
90,94,0
91,95,0
92,96,0
93,97,0
94,98,0
95,99,0
96,100,0
97,101,0
98,102,0
99,103,0
100,104,0
101,105,0
102,106,0
103,107,0
104,108,0
105,109,0
106,110,0
107,111,0
108,112,0
109,113,0
110,114,0
111,115,0
112,116,0
113,117,0
114,118,0
115,119,0
116,120,0
117,121,0
118,122,0
119,123,0
120,124,0
121,125,0
122,126,0
123,127,0
124,128,0
125,130,0
126,131,0
127,132,0
128,133,0
129,134,0
130,135,0
131,136,0
132,137,0
133,138,0
134,139,0
135,140,0
136,141,0
137,142,0
138,143,0
139,144,0
140,145,0
141,146,0
142,147,0
143,148,0
144,149,0
145,150,0
146,151,0
147,152,0
148,153,0
149,154,0
150,155,0
151,157,0
152,158,0
153,159,0
154,160,0
155,161,0
156,162,0
157,163,0
158,164,0
159,165,0
160,166,0
161,168,0
162,169,0
163,170,0
164,171,0
165,172,0
166,173,0
167,174,0
168,175,0
169,176,0
170,177,0
171,178,0
172,179,0
173,180,0
174,181,0
175,182,0
176,183,0
177,184,0
178,185,0
179,186,0
180,187,0
181,188,0
182,189,0
183,190,0
184,191,0
185,192,0
186,193,0
187,194,0
188,195,0
189,196,0
190,197,0
191,198,0
192,199,0
193,201,0
194,202,0
195,203,0
196,204,0
197,205,0
198,206,0
199,207,0
200,208,0
201,209,0
202,210,0
203,211,0
204,212,0
205,216,0
206,217,0
207,218,0
208,219,0
209,220,0
210,221,0
211,222,0
212,223,0
213,224,0
214,225,0
215,226,0
216,227,0
217,228,0
218,229,0
219,231,0
220,232,0
221,233,0
222,234,0
223,235,0
224,236,0
225,237,0
226,238,0
227,239,0
228,240,0
229,241,0
230,242,0
231,243,0
232,244,0
233,245,0
234,246,0
235,247,0
236,248,0
237,249,0
238,251,0
239,252,0
240,253,0
241,254,0
242,255,0
243,256,0
244,257,0
245,258,0
246,259,0
247,260,0
248,261,0
249,262,0
250,263,0
251,264,0
252,265,0
253,266,0
254,267,0
255,268,0
256,269,0
257,270,0
258,272,0
259,273,0
260,274,0
261,276,0
262,277,0
263,278,0
264,279,0
265,281,0
266,282,0
267,283,0
268,284,0
269,285,0
270,286,0
271,287,0
272,288,0
273,289,0
274,290,0
275,291,0
276,292,0
277,293,0
278,294,0
279,295,0
280,296,0
281,297,0
282,298,0
283,299,0
284,300,0
285,301,0
286,302,0
287,303,0
288,304,0
289,305,0
290,306,0
291,307,0
292,308,0
293,309,0
294,310,0
295,311,0
296,312,0
297,313,0
298,315,0
299,316,0
300,318,0
301,319,0
302,320,0
303,321,0
304,322,0
305,323,0
306,324,0
307,325,0
308,326,0
309,327,0
310,328,0
311,329,0
312,330,0
313,331,0
314,332,0
315,333,0
316,334,0
317,335,0
318,336,0
319,338,0
320,339,0
321,340,0
322,341,0
323,342,0
324,343,0
325,344,0
326,345,0
327,347,0
328,348,0
329,349,0
330,350,0
331,351,0
332,352,0
333,353,0
334,354,0
335,355,0
336,356,0
337,357,0
338,358,0
339,359,0
340,360,0
341,361,0
342,362,0
343,363,0
344,364,0
345,365,0
346,366,0
347,367,0
348,368,0
349,369,0
350,370,0
351,371,0
352,372,0
353,373,0
354,374,0
355,375,0
356,376,0
357,377,0
358,378,0
359,379,0
360,380,0
361,381,0
362,382,0
363,383,0
364,384,0
365,385,0
366,386,0
367,387,0
368,388,0
369,389,0
370,390,0
371,391,0
372,392,0
373,393,0
374,394,0
375,395,0
376,396,0
377,397,0
378,398,0
379,399,0
380,400,0
381,401,0
382,402,0
383,404,0
384,405,0
385,406,0
386,407,0
387,408,0
388,409,0
389,410,0
390,411,0
391,413,0
392,414,0
393,415,0
394,416,0
395,417,0
396,418,0
397,419,0
398,420,0
399,421,0
400,422,0
401,423,0
402,424,0
403,425,0
404,426,0
405,427,0
406,428,0
407,429,0
408,430,0
409,431,0
410,432,0
411,433,0
412,434,0
413,435,0
414,436,0
415,438,0
416,439,0
417,440,0
418,441,0
419,442,0
420,443,0
421,444,0
422,446,0
423,447,0
424,448,0
425,449,0
426,450,0
427,451,0
428,452,0
429,453,0
430,454,0
431,455,0
432,456,0
433,457,0
434,458,0
435,459,0
436,460,0
437,461,0
438,462,0
439,463,0
440,464,0
441,465,0
442,466,0
443,467,0
444,468,0
445,469,0
446,470,0
447,472,0
448,473,0
449,474,0
450,476,0
451,477,0
452,478,0
453,479,0
454,480,0
455,481,0
456,482,0
457,483,0
458,484,0
459,485,0
460,486,0
461,487,0
462,488,0
463,489,0
464,490,0
465,491,0
466,492,0
467,493,0
468,494,0
469,495,0
470,496,0
471,497,0
472,498,0
473,499,0
474,500,0
475,501,0
476,502,0
477,504,0
478,505,0
479,506,0
480,507,0
481,508,0
482,509,0
483,510,0
484,511,0
485,512,0
486,513,0
487,514,0
488,515,0
489,516,0
490,517,0
491,518,0
492,519,0
493,520,0
494,521,0
495,522,0
496,523,0
497,524,0
498,525,0
499,526,0
500,527,0
501,528,0
502,529,0
503,530,0
504,531,0
505,532,0
506,533,0
507,534,0
508,535,0
509,536,0
510,537,0
511,538,0
512,539,0
513,540,0
514,541,0
515,542,0
516,543,0
517,544,0
518,546,0
519,547,0
520,548,0
521,549,0
522,550,0
523,551,0
524,552,0
525,553,0
526,555,0
527,556,0
528,557,0
529,558,0
530,559,0
531,561,0
532,562,0
533,563,0
534,564,0
535,565,0
536,566,0
537,567,0
538,568,0
539,569,0
540,570,0
541,571,0
542,572,0
543,573,0
544,574,0
545,575,0
546,576,0
547,577,0
548,578,0
549,579,0
550,581,0
551,582,0
552,583,0
553,584,0
554,585,0
555,586,0
556,587,0
557,588,0
558,589,0
559,590,0
560,591,0
561,592,0
562,593,0
563,594,0
564,595,0
565,596,0
566,597,0
567,598,0
568,599,0
569,600,0
570,601,0
571,602,0
572,603,0
573,604,0
574,605,0
575,606,0
576,607,0
577,608,0
578,609,0
579,610,0
580,612,0
581,613,0
582,615,0
583,616,0
584,617,0
585,618,0
586,619,0
587,620,0
588,621,0
589,622,0
590,623,0
591,624,0
592,625,0
593,626,0
594,627,0
595,628,0
596,629,0
597,630,0
598,631,0
599,632,0
600,633,0
601,634,0
602,635,0
603,636,0
604,637,0
605,638,0
606,639,0
607,642,0
608,643,0
609,644,0
610,645,0
611,646,0
612,647,0
613,648,0
614,649,0
615,650,0
616,651,0
617,652,0
618,653,0
619,654,0
620,655,0
621,656,0
622,657,0
623,658,0
624,659,0
625,660,0
626,661,0
627,662,0
628,663,0
629,664,0
630,665,0
631,666,0
632,667,0
633,668,0
634,669,0
635,670,0
636,671,0
637,672,0
638,674,0
